id,status,wfo,ident,name,city,state,latitude_deg,longitude_deg
132,OPR,ILN,KILN,Wilmington Airpark,Wilmington,OH,39.42789841,-83.792099
133,OPR,ILN,KLHQ,Fairfield County Airport,Lancaster,OH,39.75559998,-82.65709686
134,OPR,ILN,KLUK,Cincinnati Municipal Airport Lunken Field,Cincinnati,OH,39.10329819,-84.41860199
135,OPR,ILN,KMGY,Dayton-Wright Brothers Airport,Dayton,OH,39.5890007,-84.22489929
136,OPR,ILN,KOSU,The Ohio State University Airport - Don Scott Field,Columbus,OH,40.0798,-83.072998
137,OPR,ILN,KVTA,Newark Heath Airport,Newark,OH,40.02470016,-82.46179962
138,OPR,LWX,KBWI,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,MD,39.1754,-76.668297
139,OPR,LWX,KCHO,Charlottesville Albemarle Airport,Charlottesville,VA,38.1385994,-78.45290375
140,OPR,LWX,KDCA,Ronald Reagan Washington National Airport,Washington,DC,38.8521,-77.037697
141,OPR,LWX,KDMH,OPR Ridge,Allegany,MD,39.2814,-76.6089
142,OPR,LWX,KHGR,Hagerstown Regional Richard A Henson Field,Hagerstown,MD,39.707901,-77.72949982
143,OPR,LWX,KIAD,Washington Dulles International Airport,Dulles,VA,38.9445,-77.455803
144,OPR,LWX,KMRB,Eastern WV Regional Airport/Shepherd Field,Martinsburg,WV,39.40190125,-77.98459625
145,OPR,LWX,KNAK,US Naval Academy,Annapolis,,38.9833,-76.7047
146,OPR,MHX,KEWN,Coastal Carolina Regional Airport,New Bern,NC,35.07300186,-77.04290009
147,OPR,MHX,KHSE,Billy Mitchell Airport,Hatteras,NC,35.23279953,-75.61779785
148,OPR,MHX,KMRH,Michael J. Smith Field,Beaufort,NC,34.73360062,-76.66059875
149,OPR,OKX,KBDR,Igor I Sikorsky Memorial Airport,Bridgeport,CT,41.16350174,-73.12619781
150,OPR,OKX,KCDW,Essex County Airport,Caldwell,NJ,40.87519836,-74.28140259
151,OPR,OKX,KDXR,Danbury Municipal Airport,Danbury,CT,41.37149811,-73.48220062
152,OPR,OKX,KEWR,Newark Liberty International Airport,Newark,NJ,40.692501,-74.168701
153,OPR,OKX,KFOK,Francis S Gabreski Airport,Westhampton Beach,NY,40.84370041,-72.63179779
154,OPR,OKX,KFRG,Republic Airport,Farmingdale,NY,40.72880173,-73.41339874
155,OPR,OKX,KGON,Groton New London Airport,Groton,CT,41.330101,-72.045097
156,OPR,OKX,KHPN,Westchester County Airport,White Plains,NY,41.06700134,-73.70760345
157,OPR,OKX,KHVN,Tweed New Haven Airport,New Haven,CT,41.26369858,-72.88680267
158,OPR,OKX,KHWV,Brookhaven Calabro Airport,Shirley,NY,40.821899,-72.8694
159,OPR,OKX,KISP,Long Island Mac Arthur Airport,Islip,NY,40.79520035,-73.10019684
160,OPR,OKX,KJFK,John F Kennedy International Airport,New York,NY,40.639447,-73.779317
161,OPR,OKX,KLGA,La Guardia Airport,New York,NY,40.777199,-73.872597
162,OPR,OKX,KMGJ,Orange County Airport,Montgomery,NY,41.50999832,-74.26460266
163,OPR,OKX,KMMK,Meriden Markham Municipal Airport,Meriden,CT,41.50870132,-72.82949829
164,OPR,OKX,KMTP,Montauk Airport,Montauk,NY,41.0765,-71.920797
165,OPR,OKX,KNYC,Central Park,New York,NY,40.7667,-73.9833
166,OPR,OKX,KTEB,Teterboro Airport,Teterboro,NY,40.85010147,-74.06079865
167,OPR,KPBZ,KAGC,Allegheny County Airport,Pittsburgh,PA,40.354401,-79.930199
168,OPR,KPBZ,KDUJ,DuBois Regional Airport,Dubois,PA,41.17829895,-78.8986969
169,OPR,KPBZ,KHLG,Wheeling Ohio County Airport,Wheeling,WV,40.17499924,-80.64630127
170,OPR,KPBZ,KMGW,Morgantown Municipal Airport Walter L. (Bill) Hart Field,Morgantown,WV,39.643305,-79.917598
171,OPR,KPBZ,KPHD,Harry Clever Field,New Philadelphia,OH,40.47090149,-81.41970062
172,OPR,KPBZ,KPIT,Pittsburgh International Airport,Pittsburgh,PA,40.49150085,-80.23290253
173,OPR,KPBZ,KZZV,Zanesville Municipal Airport,Zanesville,OH,39.94440079,-81.89209747
174,OPR,PHL,KABE,Lehigh Valley International Airport,Allentown,PA,40.651773,-75.442797
175,OPR,PHL,KACY,Atlantic City International Airport,Atlantic City,NJ,39.45759964,-74.57720184
176,OPR,PHL,KDYL,Doylestown Airport,Doylestown,PA,40.33300018,-75.12229919
177,OPR,PHL,KFWN,Sussex Airport,Sussex,NJ,41.20019913,-74.6230011
178,OPR,PHL,KGED,Delaware Coastal Airport,Georgetown,DE,38.689201,-75.358902
179,OPR,PHL,KILG,New Castle Airport,Wilmington,DE,39.67869949,-75.60649872
180,OPR,PHL,KMIV,Millville Municipal Airport,Millville,NJ,39.367802,-75.072197
181,OPR,PHL,KMPO,Pocono Mountains Municipal Airport,Mount Pocono,PA,41.136025,-75.379572
182,OPR,PHL,KPHL,Philadelphia International Airport,Philadelphia,PA,39.87189865,-75.2410965
183,OPR,PHL,KPNE,Northeast Philadelphia Airport,Philadelphia,PA,40.081902,-75.010597
184,OPR,PHL,KPTW,Heritage Field,Pottstown,PA,40.239601,-75.556702
185,OPR,PHL,KRDG,Reading Regional Airport (Carl A Spaatz Field),Reading,PA,40.378502,-75.965202
186,OPR,PHL,KSMQ,Somerset Airport,Somerville,NJ,40.62599945,-74.67019653
187,OPR,PHL,KTTN,Trenton Mercer Airport,Trenton,NJ,40.27669907,-74.81349945
188,OPR,PHL,KVAY,South Jersey Regional Airport,Lumberton,NJ,39.942902,-74.845703
189,OPR,PHL,K12N,Aeroflex-Andover Airport,Andover,NJ,41.008598,-74.737999
190,OPR,RAH,KBUY,Burlington Alamance Regional Airport,Burlington,NC,36.04850006,-79.47489929
191,OPR,RAH,KFAY,Fayetteville Regional Airport - Grannis Field,Fayetteville,NC,34.991199,-78.880302
192,OPR,RAH,KGSO,Piedmont Triad International Airport,OPRsboro,NC,36.097801,-79.937302
193,OPR,RAH,KIGX,Horace Williams Airport,Chapel Hill,NC,35.935001,-79.065902
194,OPR,RAH,KINT,Smith Reynolds Airport,Winston Salem,NC,36.13370132,-80.22200012
195,OPR,RAH,KMEB,Laurinburg Maxton Airport,Maxton,NC,34.791901,-79.365799
196,OPR,RAH,KRDU,Raleigh Durham International Airport,Raleigh/Durham,NC,35.877602,-78.787498
197,OPR,RAH,KRWI,Rocky Mount Wilson Regional Airport,Rocky Mount,NC,35.85630035,-77.89189911
198,OPR,RLX,KBKW,Raleigh County Memorial Airport,Beckley,WV,37.78730011,-81.12419891
199,OPR,RLX,KCKB,North Central West Virginia Airport,Bridgeport,WV,39.2966,-80.228104
200,OPR,RLX,KCRW,Yeager Airport,Charleston,WV,38.3731,-81.593201
201,OPR,RLX,KEKN,Elkins-Randolph County Regional Airport,Elkins,WV,38.889759,-79.857651
202,OPR,RLX,KHTS,Tri-State Airport / Milton J. Ferguson Field,Huntington,WV,38.366699,-82.557999
203,OPR,RLX,KPKB,Mid Ohio Valley Regional Airport,Parkersburg (Williamstown),WV,39.3451,-81.439201
204,OPR,RNK,KBLF,Mercer County Airport,Bluefield,WV,37.295799,-81.207703
205,OPR,RNK,KDAN,Danville Regional Airport,Danville,VA,36.572899,-79.336098
206,OPR,RNK,KLYH,Lynchburg Regional Airport - Preston Glenn Field,Lynchburg,VA,37.326698,-79.200401
207,OPR,RNK,KROA,Roanoke/Blacksburg Regional Airport,Roanoke,VA,37.3255,-79.975403
